iter	RMSE
0	14.81913702
1	14.63273165
2	14.43526591
3	14.25404769
4	14.09245125
5	13.9317318
6	13.76193283
7	13.58564413
8	13.43957742
9	13.27566185
10	13.13580598
11	12.96780829
12	12.83200865
13	12.67637722
14	12.53387583
15	12.38026283
16	12.22966694
17	12.0800314
18	11.94663623
19	11.8080878
20	11.67228577
21	11.54751022
22	11.4404513
23	11.31695674
24	11.19266436
25	11.09494946
26	10.97677094
27	10.86910039
28	10.77414552
29	10.66792169
30	10.56673728
31	10.45586121
32	10.34725176
33	10.25547688
34	10.17027388
35	10.0806227
36	9.983496778
37	9.888578009
38	9.795494267
39	9.715860591
40	9.636198128
41	9.55970183
42	9.474530297
43	9.390857195
44	9.317373901
45	9.22734104
46	9.155789067
47	9.090651493
48	9.015830396
49	8.939514382
50	8.872313596
51	8.804230302
52	8.734130799
53	8.666226549
54	8.597018447
55	8.540457003
56	8.479341388
57	8.414196617
58	8.345687231
59	8.279580874
60	8.217494887
61	8.168615855
62	8.113970546
63	8.060187309
64	8.003448304
65	7.950561852
66	7.903636327
67	7.855630072
68	7.804196533
69	7.751334806
70	7.701143776
71	7.659382409
72	7.618927452
73	7.582193391
74	7.546726435
75	7.511908601
76	7.472159071
77	7.42933159
78	7.389288865
79	7.350890553
80	7.314216348
81	7.273835193
82	7.237890064
83	7.197188361
84	7.163803696
85	7.127534956
86	7.094663363
87	7.068007753
88	7.035792246
89	7.008244415
90	6.98365249
91	6.950740843
92	6.916364159
93	6.892245653
94	6.863868124
95	6.839491752
96	6.814817273
97	6.78902733
98	6.764845387
99	6.735594282
100	6.711862225
101	6.683631273
102	6.655564283
103	6.629724536
104	6.605376844
105	6.583862912
106	6.561570947
107	6.539077201
108	6.518021345
109	6.492360132
110	6.471810515
111	6.449111057
112	6.430735624
113	6.409537139
114	6.391030824
115	6.371786144
116	6.348952691
117	6.334536235
118	6.319067476
119	6.29756206
120	6.280985996
121	6.261127106
122	6.242016181
123	6.226525938
124	6.209884287
125	6.194919842
126	6.176836525
127	6.165691844
128	6.151485619
129	6.137892815
130	6.122541989
131	6.107806351
132	6.095583425
133	6.079888468
134	6.06693533
135	6.051255442
136	6.035929377
137	6.023285333
138	6.012100018
139	5.998595939
140	5.984570326
141	5.973210515
142	5.959643737
143	5.950455945
144	5.940476467
145	5.931296212
146	5.92174088
147	5.909557219
148	5.899658976
149	5.890743692
150	5.881288116
151	5.873938959
152	5.866131215
153	5.857038149
154	5.848249445
155	5.837713252
156	5.827311671
157	5.819250846
158	5.809423521
159	5.802703936
160	5.796583129
161	5.786928917
162	5.77960118
163	5.772014927
164	5.765277914
165	5.758270447
166	5.751680864
167	5.745718186
168	5.737047809
169	5.729165231
170	5.723218461
171	5.716163022
172	5.712054602
173	5.706381307
174	5.698779869
175	5.691966108
176	5.685499
177	5.677300764
178	5.672338572
179	5.664309994
180	5.659271058
181	5.651031797
182	5.64671634
183	5.638221104
184	5.630944626
185	5.625489541
186	5.61876053
187	5.610398057
188	5.603739998
189	5.597127679
190	5.591905803
191	5.585378148
192	5.580685357
193	5.57706867
194	5.57214373
195	5.567528179
196	5.564544537
197	5.559626067
198	5.554527961
199	5.549797299
200	5.544977361
201	5.542405734
202	5.536309307
203	5.532230507
204	5.528855178
205	5.524549489
206	5.520703522
207	5.515900212
208	5.512462274
209	5.507250128
210	5.502563325
211	5.498358356
212	5.492653983
213	5.488091293
214	5.4828782
215	5.479924679
216	5.476898386
217	5.473335475
218	5.470426856
219	5.465873302
220	5.461863996
221	5.456784108
222	5.452956019
223	5.450145988
224	5.446770729
225	5.441785991
226	5.438241944
227	5.434324228
228	5.431972978
229	5.429266535
230	5.425991761
231	5.421554375
232	5.419109765
233	5.417187019
234	5.414389822
235	5.410764633
236	5.408063946
237	5.405404165
238	5.403434979
239	5.399872139
240	5.396358689
241	5.39423539
242	5.393952361
243	5.389643259
244	5.386265818
245	5.381935616
246	5.37997384
247	5.376815525
248	5.374091112
249	5.371148431
250	5.368418011
251	5.364441684
252	5.362639851
253	5.36023343
254	5.358748324
255	5.356602383
256	5.354304043
257	5.352864017
258	5.350731658
259	5.348465125
260	5.346387063
261	5.343639889
262	5.342342235
263	5.338980218
264	5.335203258
265	5.33111119
266	5.327801731
267	5.326282396
268	5.323209829
269	5.320403261
270	5.318890664
271	5.316619518
272	5.31430867
273	5.312112171
274	5.310016811
275	5.308460885
276	5.305710946
277	5.303520814
278	5.301122025
279	5.299474834
280	5.297217082
281	5.295293399
282	5.293988872
283	5.291374828
284	5.289498125
285	5.287825495
286	5.285612549
287	5.283408478
288	5.281572119
289	5.278570561
290	5.274913521
291	5.273327214
292	5.272223098
293	5.270324413
294	5.266410688
295	5.262276793
296	5.260922536
297	5.258140261
298	5.257324784
299	5.254954206
300	5.25248502
301	5.251524485
302	5.24935401
303	5.247243221
304	5.245763192
305	5.244068947
306	5.242861435
307	5.240613417
308	5.239600547
309	5.236700777
310	5.234702359
311	5.232772381
312	5.231445061
313	5.230194989
314	5.228123663
315	5.226002722
316	5.223742971
317	5.22148381
318	5.218797967
319	5.216052694
320	5.215029323
321	5.213451237
322	5.211412275
323	5.210416284
324	5.207839784
325	5.206229488
326	5.20272445
327	5.201405045
328	5.198546629
329	5.196998534
330	5.195178414
331	5.193714667
332	5.191648784
333	5.190177432
334	5.188247196
335	5.187100635
336	5.185681851
337	5.184374148
338	5.181195536
339	5.179913611
340	5.178623403
341	5.177097053
342	5.176306455
343	5.174782953
344	5.173834911
345	5.173065768
346	5.171607223
347	5.170802538
348	5.169524365
349	5.168017767
350	5.167163387
351	5.166297489
352	5.165328563
353	5.164229544
354	5.162548004
355	5.161440976
356	5.160650199
357	5.159223615
358	5.156471847
359	5.155475524
360	5.153516663
361	5.151887896
362	5.150556979
363	5.148368064
364	5.147545167
365	5.146634214
366	5.145273127
367	5.144522556
368	5.143540719
369	5.140633896
370	5.139080641
371	5.137514595
