iter	RMSE
372	5.136727267
373	5.134224157
374	5.131980489
375	5.130052307
376	5.127515249
377	5.127007894
378	5.125465311
379	5.124415357
380	5.122656408
381	5.121206295
382	5.120065334
383	5.118248165
384	5.117475626
385	5.11567524
386	5.114767178
387	5.113819126
388	5.112264676
389	5.111063525
390	5.109200333
391	5.108369718
392	5.10757273
393	5.105825849
394	5.104882188
395	5.104092796
396	5.103587254
397	5.101797002
398	5.100891182
399	5.100169981
400	5.098978977
401	5.097583692
402	5.096567092
403	5.095582396
404	5.094923214
405	5.093962928
406	5.092976967
407	5.091523315
408	5.091002411
409	5.088395891
410	5.088085505
411	5.08512535
412	5.084323487
413	5.083599461
414	5.082912432
415	5.080528373
416	5.079386083
417	5.078166328
418	5.077140806
419	5.076524616
420	5.075734885
421	5.074848057
422	5.073882766
423	5.073058748
424	5.072448847
425	5.0718474
426	5.070290076
427	5.068247753
428	5.067886563
429	5.066962131
430	5.064673595
431	5.06303077
432	5.061965337
433	5.061859721
434	5.060661625
435	5.05962207
436	5.058319243
437	5.057742638
438	5.057641743
439	5.055448414
440	5.054288504
441	5.053675667
442	5.052258109
443	5.050832544
444	5.04889607
445	5.048237478
446	5.047088378
447	5.046141441
448	5.045569162
449	5.045104521
450	5.044470159
451	5.043226744
452	5.043128003
453	5.042327572
454	5.041927173
455	5.041385744
456	5.039129032
457	5.037924137
458	5.036840779
459	5.036188401
460	5.035079041
461	5.034011009
462	5.033360225
463	5.03250526
464	5.032030264
465	5.031521489
466	5.030968327
467	5.030759895
468	5.030402581
469	5.030207515
470	5.029234705
471	5.028382593
472	5.027816568
473	5.027462042
474	5.025375898
475	5.024739501
476	5.023799366
477	5.023209921
478	5.02202892
479	5.020908672
480	5.020580417
481	5.020066795
482	5.018948903
483	5.016747458
484	5.01653464
485	5.015203668
486	5.014670436
487	5.013949709
488	5.013150031
489	5.011824689
490	5.011647513
491	5.010121075
492	5.009213882
493	5.008202889
494	5.006076328
495	5.004593436
496	5.003333354
497	5.001165573
498	4.999959033
499	4.998840969
